"noel","Garde-Robe","Salon","Au dessus du lavabo","Au-dessus de la table","Salle invités Au-dessus de la TV"
"vendredi","Au dessus du lavabo","Corridor statue","Salle invités Grand garde-robe","Laurent Garde-Robe","Lavage Plafond"
